"";"Number";"Name"
"1";"226";"Introduction to Neuroscience"
"2";"245";"Proseminar in Systems Neuroscience"
"3";"301";"Molecular Neurobiology"
"4";"325";"Psychopharmacology"
"5";"351";"Neurophysiology"
"6";"356";"Neurophysiology of Motivation"
"7";"359";"Hormones and Behavior"
"8";"450";"Seminar in Physiology: Classic Papers in Neurophysiology"
"9";"490,";" 390 Special Topics"
