"";"Number";"Name"
"1";"251";"Molecular Genetics"
"2";"291";"Cell Structure and Function"
"3";"310";"Structural Biochemistry"
"4";"331";"Biochemistry"
"5";"400";"Molecular and Cellular Biophysics"
"6";"404";"Seminar in Biochemistry"
"7";"420";"Seminar in Molecular Genetics: DNA Makes RNA"
"8";"490";"Special Topics"
